Old URL: ~/Default.aspx, New URL: ~/Default, File Found: False
Old URL: ~/Pages/schglpaydlyhdreg_2.aspx, New URL: ~/aspxpages/schglpaydlyhdreg_2.aspx, File Found: True
Old URL: ~/Pages/schglpaydlyhdreg_1.aspx, New URL: ~/aspxpages/schglpaydlyhdreg_1.aspx, File Found: True
Old URL: ~/Pages/schglpaydlydetailpayment.aspx, New URL: ~/Pages/schglpaydlydetailpayment, File Found: False
Old URL: ~/Pages/schglvchdlydetailpayment.aspx, New URL: ~/Pages/schglvchdlydetailpayment, File Found: False
Old URL: ~/Pages/schglvchdlydetailreg.aspx, New URL: ~/Pages/schglvchdlydetailreg, File Found: False
Old URL: ~/Pages/schglpaydlydetailreg.aspx, New URL: ~/Pages/schglpaydlydetailreg, File Found: False
Old URL: ~/Pages/NewReciptVocher1.aspx, New URL: ~/aspxpages/NewReciptVocher1.aspx, File Found: True
Old URL: ~/Pages/FixedAssets.aspx, New URL: ~/aspxpages/FixedAssets.aspx, File Found: True
Old URL: ~/Pages/GLAsetsCat_1.aspx, New URL: ~/Pages/GLAsetsCat_1, File Found: False
Old URL: ~/Pages/GlAstTyp.aspx, New URL: ~/aspxpages/GlAstTyp.aspx, File Found: True
Old URL: ~/Pages/GLAsetsLoc_1.aspx, New URL: ~/Pages/GLAsetsLoc_1, File Found: False
Old URL: ~/Pages/GlDepStat_1.aspx, New URL: ~/Pages/GlDepStat_1, File Found: False
Old URL: ~/Pages/GlDepStat1_1.aspx, New URL: ~/Pages/GlDepStat1_1, File Found: False
Old URL: ~/Pages/GLFixdAsets_1.aspx, New URL: ~/Pages/GLFixdAsets_1, File Found: False
Old URL: ~/Pages/FixedAssetsReports.aspx, New URL: ~/aspxpages/FixedAssetsReports.aspx, File Found: True
Old URL: ~/Pages/GLasetspursn_1.aspx, New URL: ~/Pages/GLasetspursn_1, File Found: False
Old URL: ~/Pages/GLasetstotaldep_1.aspx, New URL: ~/Pages/GLasetstotaldep_1, File Found: False
Old URL: ~/Pages/GLDepDtl_1.aspx, New URL: ~/Pages/GLDepDtl_1, File Found: False
Old URL: ~/Pages/GLAGENTABLE_1.aspx, New URL: ~/Pages/GLAGENTABLE_1, File Found: False
Old URL: ~/Pages/GlAdvExp_1.aspx, New URL: ~/Pages/GlAdvExp_1, File Found: False
Old URL: ~/Pages/GlAdvDtl_1.aspx, New URL: ~/Pages/GlAdvDtl_1, File Found: False
Old URL: ~/Pages/GlAdvDtl.aspx, New URL: ~/Pages/GlAdvDtl, File Found: False
Old URL: ~/Pages/GlAdvExp.aspx, New URL: ~/Pages/GlAdvExp, File Found: False
Old URL: ~/Pages/GLAGENTABLE.aspx, New URL: ~/Pages/GLAGENTABLE, File Found: False
Old URL: ~/Pages/GLAsetsCat.aspx, New URL: ~/aspxpages/GLAsetsCat.aspx, File Found: True
Old URL: ~/Pages/GLAsetsLoc.aspx, New URL: ~/aspxpages/GLAsetsLoc.aspx, File Found: True
Old URL: ~/Pages/GLasetspursn.aspx, New URL: ~/Pages/GLasetspursn, File Found: False
Old URL: ~/Pages/GLasetstotaldep.aspx, New URL: ~/Pages/GLasetstotaldep, File Found: False
Old URL: ~/Pages/GLDepDtl.aspx, New URL: ~/Pages/GLDepDtl, File Found: False
Old URL: ~/Pages/GlDepStat.aspx, New URL: ~/aspxpages/GlDepStat.aspx, File Found: True
Old URL: ~/Pages/GlDepStat1.aspx, New URL: ~/aspxpages/GlDepStat1.aspx, File Found: True
Old URL: ~/Pages/GLFixdAsets.aspx, New URL: ~/Pages/GLFixdAsets, File Found: False
Old URL: ~/Pages/updatebranchdistrubution.aspx, New URL: ~/Pages/updatebranchdistrubution, File Found: False
Old URL: ~/Pages/schparentsrelation.aspx, New URL: ~/aspxpages/schparentsrelation.aspx, File Found: True
Old URL: ~/Pages/Qglmfbandviewtree1001.aspx, New URL: ~/Pages/Qglmfbandviewtree1001, File Found: False
Old URL: ~/Pages/GLFixdAsetsrelated.aspx, New URL: ~/Pages/GLFixdAsetsrelated, File Found: False
Old URL: ~/Pages/GLFixdAsets_2.aspx, New URL: ~/aspxpages/GLFixdAsets_2.aspx, File Found: True
Old URL: ~/Pages/FinancialReports.aspx, New URL: ~/aspxpages/FinancialReports.aspx, File Found: True
Old URL: ~/Pages/p170215114252.aspx, New URL: ~/aspxpages/p170215114252.aspx, File Found: True
Old URL: ~/Pages/glstatment.aspx, New URL: ~/aspxpages/glstatment.aspx, File Found: True
Old URL: ~/Pages/glstatment_1.aspx, New URL: ~/aspxpages/glstatment_1.aspx, File Found: True
Old URL: ~/Pages/glstatment_2.aspx, New URL: ~/aspxpages/glstatment_2.aspx, File Found: True
Old URL: ~/Pages/glstatment_3.aspx, New URL: ~/aspxpages/glstatment_3.aspx, File Found: True
Old URL: ~/Pages/glstatment_4.aspx, New URL: ~/aspxpages/glstatment_4.aspx, File Found: True
Old URL: ~/Pages/glstatment_5.aspx, New URL: ~/aspxpages/glstatment_5.aspx, File Found: True
Old URL: ~/Pages/glstatment_7.aspx, New URL: ~/aspxpages/glstatment_7.aspx, File Found: True
Old URL: ~/Pages/glstatment_8.aspx, New URL: ~/aspxpages/glstatment_8.aspx, File Found: True
Old URL: ~/Pages/glstatment_6.aspx, New URL: ~/aspxpages/glstatment_6.aspx, File Found: True
Old URL: ~/Pages/Crossaging.aspx, New URL: ~/Pages/Crossaging, File Found: False
Old URL: ~/Pages/p151121084331.aspx, New URL: ~/aspxpages/p151121084331.aspx, File Found: True
Old URL: ~/Pages/GlstatmentBalanceSheet.aspx, New URL: ~/aspxpages/GlstatmentBalanceSheet.aspx, File Found: True
Old URL: ~/Pages/GlstatmentBalanceSheet_1.aspx, New URL: ~/aspxpages/GlstatmentBalanceSheet_1.aspx, File Found: True
Old URL: ~/Pages/QGLBalancsheetReport.aspx, New URL: ~/aspxpages/QGLBalancsheetReport.aspx, File Found: True
Old URL: ~/Pages/3trailbalance.aspx, New URL: ~/Pages/3trailbalance, File Found: False
Old URL: ~/Pages/TrialBalance.aspx, New URL: ~/Pages/TrialBalance, File Found: False
Old URL: ~/Pages/trailbalance.aspx, New URL: ~/Pages/trailbalance, File Found: False
Old URL: ~/Pages/TrialBalance_1.aspx, New URL: ~/Pages/TrialBalance_1, File Found: False
Old URL: ~/Pages/QschRegDashBoardcomprosomtotal.aspx, New URL: ~/Pages/QschRegDashBoardcomprosomtotal, File Found: False
Old URL: ~/Pages/GLTransCheckbalance.aspx, New URL: ~/Pages/GLTransCheckbalance, File Found: False
Old URL: ~/Pages/GLTransStatistic.aspx, New URL: ~/Pages/GLTransStatistic, File Found: False
Old URL: ~/Pages/QAdvReg.aspx, New URL: ~/Pages/QAdvReg, File Found: False
Old URL: ~/Pages/Cashflow.aspx, New URL: ~/aspxpages/Cashflow.aspx, File Found: True
Old URL: ~/Pages/Cashflow1001.aspx, New URL: ~/Pages/Cashflow1001, File Found: False
Old URL: ~/Pages/Cashflow1002.aspx, New URL: ~/Pages/Cashflow1002, File Found: False
Old URL: ~/Pages/Cashflow1003.aspx, New URL: ~/Pages/Cashflow1003, File Found: False
Old URL: ~/Pages/Cashflow1004.aspx, New URL: ~/Pages/Cashflow1004, File Found: False
Old URL: ~/Pages/AccountList.aspx, New URL: ~/Pages/AccountList, File Found: False
Old URL: ~/Pages/Gljrnvchhdrperiodf.aspx, New URL: ~/aspxpages/Gljrnvchhdrperiodf.aspx, File Found: True
Old URL: ~/Pages/Qglschtransbalance.aspx, New URL: ~/Pages/Qglschtransbalance, File Found: False
Old URL: ~/Pages/GLsimpleTransaction.aspx, New URL: ~/aspxpages/GLsimpleTransaction.aspx, File Found: True
Old URL: ~/Pages/GLjrnvchhdr.aspx, New URL: ~/aspxpages/GLjrnvchhdr.aspx, File Found: True
Old URL: ~/Pages/schglpaydlyhdregcash.aspx, New URL: ~/aspxpages/schglpaydlyhdregcash.aspx, File Found: True
Old URL: ~/Pages/schglpaydlyhdreg1.aspx, New URL: ~/aspxpages/schglpaydlyhdreg1.aspx, File Found: True
